route,distance,elevation
work,2.985971781355049,20
work,2.977914426195192,20
home,2.985971781355049,210
work,2.940402385727992,22
home,2.936014723497853,212
work,2.902493293570724,24
home,2.886122535224299,212
work,2.870699999999488,26
work,2.838833124480624,26
work,2.835950864882152,26
work,2.819539374520158,28
work,2.812376530542245,30
home,2.807589819653515,210
work,2.805371790317916,32
work,2.800141582656700,34
work,2.796900000001187,36
work,2.792818575213784,38
work,2.787228669200273,40
work,2.780627949343930,42
work,2.769399114144297,44
work,2.766099999993458,44
work,2.763410584299955,44
work,2.755889661819164,46
work,2.747711016251003,48
work,2.741790142671373,50
work,2.735247999885496,52
home,2.731063277931802,208
work,2.728619094774675,54
work,2.722077646898525,56
work,2.714838984913165,58
work,2.708291363927112,60
work,2.702303750097577,62
work,2.684299999993527,64
work,2.673337360883221,66
work,2.667824772701976,68
home,2.664262583506645,206
work,2.662718289815869,70
work,2.656458332099059,72
work,2.650978538634408,74
work,2.645558839888454,76
work,2.640031395103750,78
work,2.633779878853915,80
work,2.625698219493902,82
home,2.624742330899188,204
work,2.619514600451248,84
work,2.613380494962192,86
work,2.611490563936326,88
work,2.594743132119956,90
home,2.586197091893299,202
work,2.584537834667385,92
work,2.577978926602961,94
work,2.570698626246295,96
work,2.563346078265815,98
work,2.556066818957852,100
work,2.548820073165308,102
work,2.540958738492635,104
work,2.531605809555277,106
work,2.521717017817616,108
work,2.509712433535547,110
work,2.495843188741715,112
work,2.484988704817864,114
home,2.483907069696699,204
work,2.423893301000722,116
home,2.408100000000559,208
work,2.401007714779060,118
home,2.395968988174712,208
home,2.391478319634647,208
home,2.385500792278745,208
work,2.384699999995064,120
work,2.379214712168349,122
work,2.373989330293244,124
work,2.369324585521622,126
work,2.364663392341220,128
work,2.359907301134730,130
work,2.353058467763292,132
work,2.338224454203151,134
home,2.333840846138960,206
work,2.328384536908139,136
work,2.317369556493907,138
work,2.303915737679923,140
home,2.288239385415984,204
work,2.278782098666222,142
work,2.247270069929522,144
work,2.225625502982771,146
home,2.223231317013482,202
work,2.219214584629579,148
work,2.213695516601353,150
work,2.208398160110177,152
work,2.203208511425472,154
work,2.198012380125567,156
work,2.192559243288639,158
work,2.187113520431896,160
work,2.181927336661907,162
work,2.176839000013857,164
home,2.174579052109587,200
work,2.168988561540297,166
work,2.160589715957714,168
work,2.153947742125443,170
work,2.146195876551083,172
work,2.139538974913018,174
work,2.131645873192333,176
work,2.124153436242443,178
work,2.116732617979318,180
work,2.090953838954766,180
home,2.090317872362001,196
work,2.077923350578187,178
work,2.066005356278951,176
home,2.063600146109909,194
work,2.049268861889856,174
home,2.043650521280156,192
home,2.023462875211864,190
work,2.016936588100107,174
home,2.002600668152840,188
work,1.988861273521581,176
home,1.983973870455295,186
work,1.977559907543155,178
home,1.971879358129840,186
work,1.964639397802240,180
work,1.953017988026979,182
work,1.941136626477646,184
work,1.927734953041054,186
home,1.922452835035799,188
work,1.917444584859350,186
work,1.891162445238419,184
home,1.870552815838236,190
work,1.868234285344996,182
home,1.822975272643319,188
work,1.810493181449937,182
home,1.798363972978442,186
work,1.775395763265773,184
home,1.762729158979911,184
work,1.745008954744837,186
work,1.736921224406544,186
home,1.723766064282862,182
work,1.715072462744213,184
home,1.702882691653814,180
work,1.691509927997892,182
work,1.674495556044004,180
home,1.671148956927157,178
work,1.663646677086692,178
work,1.652912818739736,176
home,1.643889234786169,176
work,1.640801245350237,174
work,1.627612647373668,172
home,1.614660132240401,174
work,1.614442554449170,170
work,1.602829778180994,168
work,1.590603905743987,166
home,1.578769680733017,172
work,1.576678135423342,164
work,1.561600000000908,162
work,1.561600000000908,162
work,1.561600000000908,162
work,1.561600000000908,162
home,1.546210912375980,170
work,1.540226564092624,164
work,1.513613089689972,166
home,1.506565812625930,168
home,1.500631623941845,168
work,1.496196533953636,168
home,1.485312331374406,170
work,1.484381652602871,170
home,1.473884621624273,172
work,1.466809189177412,172
home,1.459373120212226,174
work,1.451635204090457,174
home,1.445960262675243,176
work,1.426485632635517,176
home,1.423828001644230,178
work,1.405503299492353,178
home,1.397795511964100,180
work,1.387939833646655,180
work,1.370835090874004,182
home,1.370335582759933,182
work,1.355422475565790,184
work,1.337291831266373,186
work,1.317280547564776,188
home,1.297257116143235,182
work,1.288716120855536,190
home,1.263200000001234,180
work,1.253027516343547,192
home,1.190503432045403,180
home,1.163805441545681,182
work,1.159295367887003,192
home,1.152340315272259,182
work,1.125890631346541,190
home,1.123870602815452,180
home,1.089121326028396,178
work,1.088499999998021,188
home,1.068720894260497,178
work,1.050846374652123,186
work,1.014699999999721,186
work,1.014699999999721,186
home,1.013224452434249,180
work,1.007450856093702,186
home,0.991787747639100,182
work,0.989020713753146,188
